Downloaded URL,Size in Bytes,No of outlinks,ContentType
https://www.nytimes.com/2023/09/29/health/medicaid-opiod-addcition-treatment.html,237849,115,text/html
https://www.nytimes.com/2023/10/07/upshot/spelling-bee-words.html,264427,140,text/html
https://www.nytimes.com/interactive/2023/upshot/spelling-bee-buddy.html,216094,129,text/html
https://www.nytimes.com/interactive/2020/obituaries/notable-deaths.html,723533,636,text/html
https://www.nytimes.com/2023/10/02/world/europe/what-is-a-synod-pope-church.html,275547,122,text/html
https://www.nytimes.com/2023/10/06/us/ellsworth-johnson-dead.html,243857,115,text/html
https://www.nytimes.com/es/2023/10/06/espanol/peso-pluma-corridos-tumbados.html,279078,121,text/html
https://www.nytimes.com/2023/10/02/arts/beverly-willis-dead.html,268464,130,text/html
https://www.nytimes.com/es/2023/09/13/espanol/covid-vacuna-refuerzo.html,238933,128,text/html
https://www.nytimes.com/es/2023/10/08/espanol/dalai-lama-mongolia-china.html,338773,120,text/html
https://www.nytimes.com/es/2023/10/04/espanol/sinodo-sinodalidad-vaticano-que-es.html,271677,117,text/html
https://www.nytimes.com/ca/section/obituaries,649253,99,text/html
https://www.nytimes.com/es/2023/09/29/espanol/opinion/amazon-demanda.html,262199,137,text/html
https://www.nytimes.com/interactive/2022/obituaries/notable-deaths.html,644913,552,text/html
https://www.nytimes.com/interactive/2021/obituaries/notable-deaths.html,694984,608,text/html
https://www.nytimes.com/2023/10/03/arts/harriet-pattison-dead.html,276467,128,text/html
https://www.nytimes.com/es/2022/01/20/espanol/vacunas-arnm-covid.html,404603,135,text/html
https://www.nytimes.com/interactive/2017/obituaries/notable-deaths,324307,934,text/html
https://www.nytimes.com/2023/08/20/obituaries/overlooked-no-more-robert-m-budd.html,256883,119,text/html
https://www.nytimes.com/es/2023/09/26/espanol/opinion/economia-america-latina.html,251776,117,text/html
https://www.nytimes.com/2023/09/20/well/mind/aging-health-benefits.html,251760,134,text/html
https://www.nytimes.com/2023/10/04/arts/music/james-jorden-dead.html,252161,121,text/html
https://www.nytimes.com/2023/09/30/sports/chris-snow-dead.html,262397,126,text/html
https://www.nytimes.com/es/2023/09/20/espanol/tratamiento-hongo-unas.html,260568,122,text/html
https://www.nytimes.com/2023/09/27/technology/new-chatgpt-can-see-hear.html,293468,131,text/html
https://www.nytimes.com/interactive/2020/obituaries/people-died-coronavirus-obituaries.html,1048576,661,text/html
https://www.nytimes.com/2023/10/02/movies/horace-ove-dead.html,276665,123,text/html
https://www.nytimes.com/2023/10/03/travel/mexico-city-ice-cream.html,316456,134,text/html
https://www.nytimes.com/2023/10/01/obituaries/tim-wakefield-dead.html,260202,119,text/html
https://www.nytimes.com/es/spotlight/elecciones-2020,865089,158,text/html
https://www.nytimes.com/spotlight/overlooked,490926,71,text/html
https://www.nytimes.com/interactive/2019/obituaries/notable-deaths.html,642963,597,text/html
https://www.nytimes.com/es/2023/10/03/espanol/dieta-mind-cerebro-demencia.html,252892,131,text/html
https://www.nytimes.com/2023/09/14/obituaries/molly-nelson-overlooked.html,265878,120,text/html
https://www.nytimes.com/es/2023/09/13/espanol/convierte-tus-mandados-en-ejercicio.html,250028,116,text/html
https://www.nytimes.com/2023/10/05/sports/football/dick-butkus-dead.html,250190,118,text/html
https://www.nytimes.com/es/2023/10/05/espanol/nobel-literatura-jon-fosse.html,261140,125,text/html
https://www.nytimes.com/interactive/2018/obituaries/notable-deaths.html,626919,579,text/html
https://www.nytimes.com/2023/10/04/style/georgia-dullea-dead.html,247968,134,text/html
https://www.nytimes.com/2023/09/30/science/evelyn-fox-keller-dead.html,252450,118,text/html
https://www.nytimes.com/2023/08/31/obituaries/chick-strand-overlooked.html,270449,133,text/html
https://www.nytimes.com/2023/10/03/books/ed-young-dead.html,258320,121,text/html
https://www.nytimes.com/games-assets/v2/assets/wordle/wordle_logo_192x192.png,2202,0,image/png
https://www.nytimes.com/games-assets/v2/assets/wordle/wordle_logo_32x32.png,545,0,image/png
https://www.nytimes.com/games-assets/v2/metadata/wordle-apple-touch-icon.png?v=v2410051249,2202,0,image/png
https://www.nytimes.com/by/eduardo-medina,333229,54,text/html
https://www.nytimes.com/2017/09/26/upshot/nearly-half-of-americans-dont-know-people-in-puerto-ricoans-are-fellow-citizens.html?action=click&module=RelatedCoverage&pgtype=Article&region=Footer,263301,138,text/html
https://www.nytimes.com/2023/05/15/us/hertz-puerto-rico-american-passport.html,241827,121,text/html
https://www.nytimes.com/by/maureen-dowd,292328,56,text/html
https://www.nytimes.com/2023/09/17/opinion/libya-floods-dams.html,255357,135,text/html
https://www.nytimes.com/wirecutter/reviews/best-iphone-cases/,646403,803,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-home-kettle/,759758,739,text/html
https://www.nytimes.com/wirecutter/gifts/gifts-for-new-moms/,821351,802,text/html
https://www.nytimes.com/wirecutter/blog/tips-for-packing-moving-truck/,375597,663,text/html
https://www.nytimes.com/wirecutter/reviews/best-iphone-x-screen-protectors/,564133,724,text/html
https://www.nytimes.com/wirecutter/reviews/best-bath-towel/,653350,732,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-portable-air-conditioner/,706373,732,text/html
https://www.nytimes.com/wirecutter/reviews/best-olive-oil/,551194,743,text/html
https://www.nytimes.com/wirecutter/reviews/best-beard-trimmer/,639288,722,text/html
https://www.nytimes.com/wirecutter/reviews/gear-for-making-great-coffee/,583691,720,text/html
https://www.nytimes.com/wirecutter/reviews/best-baby-carriers/,686960,739,text/html
https://www.nytimes.com/wirecutter/reviews/best-heating-pad/,550573,713,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-nail-clippers/,523978,692,text/html
https://www.nytimes.com/wirecutter/reviews/best-body-pillow/,556703,697,text/html
https://www.nytimes.com/wirecutter/electronics/laptops/,465678,698,text/html
https://www.nytimes.com/wirecutter/reviews/best-microwave/,640101,721,text/html
https://www.nytimes.com/wirecutter/reviews/best-sandals/,552504,714,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-washer-and-dryer/,1048576,834,text/html
https://www.nytimes.com/wirecutter/reviews/best-dehumidifier/,550898,697,text/html
https://www.nytimes.com/wirecutter/reviews/best-travel-backpack/,690838,734,text/html
https://www.nytimes.com/wirecutter/electronics/smartphones/,477611,696,text/html
https://www.nytimes.com/wirecutter/reviews/best-wireless-carrier/,692985,768,text/html
https://www.nytimes.com/wirecutter/reviews/best-jeans-for-men/,781512,796,text/html
https://www.nytimes.com/wirecutter/travel/luggage/,356479,653,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-gardening-gloves/,512342,709,text/html
https://www.nytimes.com/wirecutter/reviews/best-mini-stereo-amplifier/,621985,710,text/html
https://www.nytimes.com/wirecutter/outdoors/camping/,440971,689,text/html
https://www.nytimes.com/wirecutter/reviews/best-cheap-mattress/,746371,736,text/html
https://www.nytimes.com/wirecutter/reviews/choosing-best-xbox-series-x-vs-series-s/,557906,701,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-toilet-paper/,600756,744,text/html
https://www.nytimes.com/wirecutter/money/cozy-week-deals-2023/,471289,680,text/html
https://www.nytimes.com/wirecutter/reviews/best-ipad-keyboard-case/,605801,700,text/html
https://www.nytimes.com/wirecutter/reviews/best-macbooks/,597819,710,text/html
https://www.nytimes.com/wirecutter/health-fitness/personal-care/,477186,697,text/html
https://www.nytimes.com/wirecutter/reviews/best-fantasy-sports-apps/,457962,688,text/html
https://www.nytimes.com/wirecutter/baby-kid/school/,401035,676,text/html
https://www.nytimes.com/wirecutter/reviews/best-umbrella/,741991,734,text/html
https://www.nytimes.com/wirecutter/reviews/best-noise-cancelling-headphones/,798949,763,text/html
https://www.nytimes.com/wirecutter/blog/try-a-handheld-steamer/,350467,660,text/html
https://www.nytimes.com/wirecutter/electronics/audio/,479685,695,text/html
https://www.nytimes.com/wirecutter/reviews/best-photo-book-service/,537190,691,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-laundry-detergent/,723952,784,text/html
https://www.nytimes.com/wirecutter/reviews/best-diaper-bag/,560463,727,text/html
https://www.nytimes.com/wirecutter/reviews/best-school-backpack-for-high-school-and-college/,673810,758,text/html
https://www.nytimes.com/wirecutter/reviews/best-garden-pruners/,543553,718,text/html
https://www.nytimes.com/wirecutter/reviews/best-cheap-multivitamins/,456806,699,text/html
https://www.nytimes.com/wirecutter/gifts/adults/,476651,697,text/html
https://www.nytimes.com/wirecutter/reviews/best-4k-blu-ray-player/,539165,701,text/html
https://www.nytimes.com/wirecutter/reviews/best-grill-tools/,628653,732,text/html
https://www.nytimes.com/section/opinion/health,379742,57,text/html
https://www.nytimes.com/section/opinion/business-economics,369427,59,text/html
https://www.nytimes.com/section/opinion/technology,409945,59,text/html
https://www.nytimes.com/section/opinion/politics,412309,57,text/html
https://www.nytimes.com/section/opinion/environment,306098,56,text/html
https://www.nytimes.com/section/opinion/culture,339471,59,text/html
https://www.nytimes.com/by/christina-goldbaum,353958,56,text/html
https://www.nytimes.com/2023/02/27/world/asia/afghanistan-cold-malnutrition-crisis.html,294153,121,text/html
https://www.nytimes.com/article/morocco-earthquake.html,357081,135,text/html
https://www.nytimes.com/by/najim-rahim,391193,56,text/html
https://www.nytimes.com/wirecutter/reviews/how-to-make-your-home-feel-like-a-cozy-cabin/,519667,735,text/html
https://www.nytimes.com/wirecutter/authors/elissa-sanci/,448844,648,text/html
https://www.nytimes.com/wirecutter/reviews/best-thermos/,526763,691,text/html
https://www.nytimes.com/wirecutter/reviews/cheapish-cozy-home-movie-night/,399678,675,text/html
https://www.nytimes.com/wirecutter/blog/carbage-can-for-a-cleaner-car/,369849,660,text/html
https://www.nytimes.com/wirecutter/reviews/best-puffy-blanket/,604066,705,text/html
https://www.nytimes.com/by/rob-copeland,341985,55,text/html
https://www.nytimes.com/interactive/2022/03/28/world/europe/russian-radio-ukraine-war.html,352514,133,text/html
https://www.nytimes.com/2022/01/03/technology/elizabeth-holmes-guilty.html,291204,141,text/html
https://www.nytimes.com/2021/04/14/business/bernie-madoff-dead.html,287715,124,text/html
https://www.nytimes.com/by/j-edward-moreno,543739,55,text/html
https://www.nytimes.com/subscription/gift?campaignId=9QKFJ,6974,5,text/html
https://www.nytimes.com/article/how-to-solve-a-crossword-puzzle.html,442190,136,text/html
https://www.nytimes.com/live/2022/11/30/business/sam-bankman-fried-interview/ftx-almeda-research-sam-bankman-fried,1048576,135,text/html
https://www.nytimes.com/article/submit-crossword-puzzles-the-new-york-times.html,275642,130,text/html
https://www.nytimes.com/2022/08/24/learning/how-to-use-the-learning-network.html,268430,131,text/html
https://www.nytimes.com/section/learning/lesson-plans?smid=rd,471011,71,text/html
https://www.nytimes.com/2021/12/02/business/economy/united-auto-workers-vote.html,241331,132,text/html
https://www.nytimes.com/interactive/2023/09/15/business/uaw-strike-map.html,571078,134,text/html
https://www.nytimes.com/article/uaw-strike-explained-ford-stellantis-gm.html,245143,122,text/html
https://www.nytimes.com/2023/09/25/podcasts/the-daily/california-caste.html,432315,150,text/html
https://www.nytimes.com/issue/magazine/2022/03/25/the-32722-issue,266587,53,text/html
https://www.nytimes.com/issue/magazine/2023/05/12/the-51423-issue,266982,53,text/html
https://www.nytimes.com/issue/magazine/2017/12/01/120317-issue,314311,61,text/html
https://www.nytimes.com/issue/magazine/2017/05/19/magazine-index-20170521,410925,61,text/html
https://www.nytimes.com/issue/magazine/2022/08/05/the-8722-issue,267349,53,text/html
https://www.nytimes.com/2023/09/28/us/politics/newsom-president-biden.html,247711,126,text/html
https://www.nytimes.com/issue/magazine/2020/05/29/the-53120-issue,371816,61,text/html
https://www.nytimes.com/issue/magazine/2017/12/26/122417-issue,312988,61,text/html
https://www.nytimes.com/issue/magazine/2020/05/24/the-51720-issue,308191,59,text/html
https://www.nytimes.com/issue/magazine/2019/03/29/the-33119-issue,297669,57,text/html
https://www.nytimes.com/issue/magazine/2023/07/27/the-73023-issue,264283,53,text/html
https://www.nytimes.com/issue/magazine/2023/01/20/the-12223-issue,255882,51,text/html
https://www.nytimes.com/issue/magazine/2023/08/18/the-82023-issue,291519,57,text/html
